index,date,time_central,datetime_utc,platform,integration_id,pillar,format,post_content,source,url,review_status,notes
20,2026-05-28,08:00,2026-05-28T13:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Attendance and ratios,Operational tip,"Attendance is one of the first ratio signals of the day.

If check-ins are late, rounded, or sitting on paper waiting to be entered, the ratio view is already behind.

A small habit that helps: close the arrival record while arrival is still happening.

Not at lunch.
Not before pickup.

While staff can still move coverage if the room count changes.",apps/site/src/content/features/attendance-tracking.md,https://pebbledesk.app/features/attendance-tracking/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Uses attendance as an input to room status, ratio review, and follow-up records."
21,2026-05-28,09:00,2026-05-28T14:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Scheduling coverage,Point of view,"Coverage and overlap are not the same thing.

Coverage means the schedule technically meets the minimum.
Overlap means the center has room for normal childcare reality.

A late arrival.
A bathroom escort.
A callout.
A parent conversation at the door.
A child moved to another room.

If the schedule only works when nothing bends, the schedule is too brittle for ratio compliance.",apps/site/src/content/guides/staff-scheduling-for-ratio-compliance.md,https://pebbledesk.app/resources/guides/staff-scheduling-for-ratio-compliance/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in the guide's coverage vs overlap distinction and normal variation examples.
22,2026-05-28,10:00,2026-05-28T15:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Room transitions,Question post,"When children move rooms, what moves with them?

The child count?
The assigned staff?
The ratio rule?
The attendance context?
The record of when the change happened?

Room transitions are where a center can be doing the right thing and still leave a messy trail.

A practical test: if someone asked about a room change tomorrow, could the record show the move without relying on whoever remembers it best?",apps/site/src/content/features/classroom-management.md,https://pebbledesk.app/features/classroom-management/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Uses classroom/room activity as related operational context; risk is framed as a practical record question.
23,2026-05-28,11:00,2026-05-28T16:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Lunch and nap transitions,Practical reminder,"Lunch and nap transitions are ratio-risk magnets because the room may look settled from a distance.

Children are in place.
The lights are lower.
The hallway is quieter.

But staff breaks, handoffs, and classroom coverage are changing underneath that calm surface.

A useful director habit is to check the actual staff counted in each room before the break rotation starts, not after the gap appears.",apps/site/src/content/guides/staff-scheduling-for-ratio-compliance.md,https://pebbledesk.app/resources/guides/staff-scheduling-for-ratio-compliance/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in post-lunch and nap supervision handoff risk from the scheduling guide.
24,2026-05-28,12:00,2026-05-28T17:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Audit documentation,Explainer,"The planned schedule is not the ratio record.

It is the first guess.

The real record has to show what happened after the doors opened:

Which children arrived.
Which staff were actually present.
Which room each child was in.
When someone stepped out.
When a room combined or split.

If a licensing question points to 10:35 on a Tuesday, the director needs more than the staffing plan printed on Monday.

She needs the day as it actually ran.",apps/site/src/content/guides/staff-scheduling-for-ratio-compliance.md,https://pebbledesk.app/resources/guides/staff-scheduling-for-ratio-compliance/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Rewritten to avoid repeated hook while keeping the schedule-versus-actual-record point.
25,2026-05-28,13:00,2026-05-28T18:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Product philosophy,Founder POV,"PebbleDesk keeps ratio tracking close to attendance and classroom activity because that is where ratio risk usually appears.

A child checks in.
A room combines.
A teacher covers a break.
A floater gets pulled somewhere else.
Pickup starts early for one classroom and late for another.

None of those moments feels like a compliance event while it is happening.

They feel like Tuesday.

Directors need that fragile moment to be visible while there is still time to move coverage, not reconstructed later from memory.",apps/site/src/content/features/ratio-tracking.md,https://pebbledesk.app/features/ratio-tracking/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Rewritten to remove product-thesis language and ground the post in concrete director moments.
26,2026-05-28,14:00,2026-05-28T19:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Callout protocol,Operational checklist,"A staff callout plan is a ratio document.

It should answer:

- Who can be called within the next two hours?
- Which rooms can be combined, if state rules and ages allow it?
- When does the director step into coverage?
- Who documents the decision?
- How is the substitute's qualification status confirmed?

A callout is stressful. The protocol should not be invented while the room is already tight.",apps/site/src/content/guides/staff-scheduling-for-ratio-compliance.md,https://pebbledesk.app/resources/guides/staff-scheduling-for-ratio-compliance/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in the callout protocol guidance and qualified staff definition.
27,2026-05-28,15:00,2026-05-28T20:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Afternoon pickup,Practical warning,"Pickup can make a room look calmer right when coverage gets more fragile.

Children leave one by one.
Staff are cleaning, answering parent questions, gathering belongings, and preparing to close.
A teacher may step out because the room ""only has a few kids left.""

That is exactly when the record still matters.

The day is not over until the last child is signed out and the room coverage still makes sense.

A good pickup routine checks both sides:

Who is still here?
Who is still counted?",apps/site/src/content/guides/childcare-ratio-compliance-automation.md,https://pebbledesk.app/resources/guides/childcare-ratio-compliance-automation/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Rewritten to avoid repeated hook while preserving pickup-ratio risk.
28,2026-05-28,16:00,2026-05-28T21:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Staff scheduling,Director prompt,"A schedule that looks efficient on paper can still be risky in a childcare center.

Ask one question:

Where does this schedule absorb ordinary variation?

If the answer is nowhere, the plan depends on every child, staff member, family, and transition behaving exactly as expected.

That is not how childcare days work.

Ratio compliance needs a little practical slack in the moments that bend.",apps/site/src/content/guides/staff-scheduling-for-ratio-compliance.md,https://pebbledesk.app/resources/guides/staff-scheduling-for-ratio-compliance/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in building overlap and planning for variation rather than averages.
29,2026-05-28,17:00,2026-05-28T22:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Audit reports,Recordkeeping tip,"Ratio review is easier when it stays connected to the rest of the day.

Attendance explains who was present.
Room activity explains where children were assigned.
Scheduling explains who was expected.
The staff record explains who could be counted.
Reports explain what happened later.

When those pieces split apart, directors end up doing detective work for a routine compliance question.",apps/site/src/content/features/audit-reports.md,https://pebbledesk.app/features/audit-reports/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Grounded in audit reports connecting attendance, ratio, billing, and audit-log context."
30,2026-05-28,18:00,2026-05-28T23:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,End-of-day review,Checklist,"End-of-day ratio review:

- Which transition was tightest?
- Did any room rely on a staff member who was not clearly counted in the record?
- Were room moves reflected when they happened?
- Did pickup coverage hold through the last child?
- Is there a pattern to address before tomorrow?

No one needs another blame exercise at closing time.

What directors need is the pattern while it is still small enough to fix in tomorrow's coverage plan, before it becomes part of a licensing conversation.",apps/site/src/content/guides/preparing-for-state-audit-childcare.md,https://pebbledesk.app/resources/guides/preparing-for-state-audit-childcare/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Rewritten to replace formulaic point/point close with a director-facing close.
31,2026-05-29,04:00,2026-05-29T09:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Attendance records,Point of view,"Attendance is not just a morning task.

It is the source record for a lot of later questions:

Who was present?
When did care happen?
Which room counted the child?
What should be billed?
What supports the subsidy claim?
What does licensing need to see?

If the attendance record is weak, every downstream answer gets harder.

That is why attendance deserves more respect than a clipboard by the door.",apps/site/src/content/features/attendance-tracking.md,https://pebbledesk.app/features/attendance-tracking/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Grounded in attendance feeding room status, ratio review, billing support, and audit prep."
32,2026-05-29,05:00,2026-05-29T10:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,CCDF documentation,Practical explainer,"For CCDF billing, the attendance record has a specific job.

It has to connect the billed day to a real child, date of service, time in, time out, and the required verification.

That is not complicated in theory.

It is hard in practice because it has to happen every day, for every child, while the center is also running.

The strongest attendance system is the one that makes the required record part of the moment, not a month-end memory exercise.",apps/site/src/content/guides/ccdf-attendance-documentation-requirements.md,https://pebbledesk.app/resources/guides/ccdf-attendance-documentation-requirements/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Uses the guide's CCDF data elements and same-day verification principle.
33,2026-05-29,06:00,2026-05-29T11:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Billing alignment,Operator risk note,"One incomplete attendance day can create more than one problem.

It can affect the family invoice.
It can affect a subsidy claim.
It can weaken ratio documentation.
It can create cleanup work in the report.

That is the compounding error most centers feel but do not always name.

Attendance is not a side record. It is the starting point for the financial and compliance story of the day.",apps/site/src/content/guides/cost-of-manual-attendance-tracking.md,https://pebbledesk.app/resources/guides/cost-of-manual-attendance-tracking/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Grounded in the guide's compounding error cycle from attendance to billing, subsidy, and reporting."
34,2026-05-29,07:00,2026-05-29T12:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Morning operations,Practical tip,"A good attendance habit for directors:

Do not wait until the end of the day to find the missing morning record.

If a child was present, the record should be clear while the people who saw arrival still remember it.

Same-day notes are stronger than retroactive cleanup.
Clear time stamps are stronger than rounded guesses.
A complete record is stronger than a story everyone has to reconstruct later.",apps/site/src/content/guides/ccdf-attendance-documentation-requirements.md,https://pebbledesk.app/resources/guides/ccdf-attendance-documentation-requirements/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in same-day verification and retroactive signature risk.
35,2026-05-29,08:00,2026-05-29T13:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Subsidy billing,Plain-language warning,"Subsidy reimbursement work gets expensive when attendance and billing live in different realities.

The claim says one thing.
The attendance record says another.
The authorization document is in a third place.
The co-pay receipt is somewhere else.

That is where directors lose time: not because the care did not happen, but because the proof has to be stitched back together.

The cleaner path is one underlying attendance record that billing can point back to.",apps/site/src/content/features/subsidy-billing.md,https://pebbledesk.app/features/subsidy-billing/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Uses subsidy feature page's connected attendance, child records, billing, and reporting framing."
36,2026-05-29,09:00,2026-05-29T14:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Family billing,Director prompt,"When a family questions a charge, what does the office reach for first?

The invoice?
The attendance record?
A note from the classroom?
A message thread?

Billing is easier to explain when the invoice is connected to the same child and family record the center already uses every day.

Attendance does not answer every billing question by itself, but it is often the first piece of proof.",apps/site/src/content/features/billing-payments.md,https://pebbledesk.app/features/billing-payments/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Grounded in billing tied to child and family record, invoices, and payment status tracking."
37,2026-05-29,10:00,2026-05-29T15:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Absence tracking,Checklist,"Absences need records too.

A useful attendance review asks:

- Was the child absent or just not signed in?
- Is there a same-day note?
- Is the absence billable under the applicable program rules?
- Is the reason code required?
- Does the billing record match the attendance record?

A blank attendance line is not the same as an absence record.

That difference matters when the claim is reviewed.",apps/site/src/content/guides/ccdf-attendance-documentation-requirements.md,https://pebbledesk.app/resources/guides/ccdf-attendance-documentation-requirements/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Uses absence documentation, absence reason codes, and billable absence guidance."
38,2026-05-29,11:00,2026-05-29T16:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Licensing documentation,Explainer,"Licensing and subsidy reviews look at attendance differently, but they both care about the record.

Licensing wants to understand who was present, when, and whether ratios held.

CCDF billing wants to understand which authorized children were present for the billed dates.

The same attendance record can support both if it captures the basics clearly.

That is the practical win: one clean record, fewer versions of the truth.",apps/site/src/content/guides/ccdf-attendance-documentation-requirements.md,https://pebbledesk.app/resources/guides/ccdf-attendance-documentation-requirements/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Grounded in the guide's distinction between CCDF and licensing attendance documentation.
39,2026-05-29,12:00,2026-05-29T17:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Record quality,Myth vs reality,"Myth: Digital attendance automatically solves the record problem.

Reality: The record still has to stay connected to the workflows that depend on it.

A check-in screen is useful.
But directors also need room context, billing support, ratio review, reports, and child records that agree with the day.

The value is not just capturing a tap.

The value is keeping the day understandable when someone asks about it later.",apps/site/src/content/features/attendance-tracking.md,https://pebbledesk.app/features/attendance-tracking/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Uses attendance feature page's framing that digital capture is valuable because it feeds the broader operating record.
40,2026-05-29,13:00,2026-05-29T18:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Manual attendance risk,Operational observation,"Paper attendance can be legal and still be fragile.

Handwriting gets unclear.
Times get rounded.
Sign-outs get missed.
Sheets get filed before someone checks them.

The risk is not only the paper.
It is the delay between what happened and when the record becomes complete.

For billing and compliance, the best record is the one captured close to the actual moment.",apps/site/src/content/guides/cost-of-manual-attendance-tracking.md,https://pebbledesk.app/resources/guides/cost-of-manual-attendance-tracking/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Grounded in manual attendance issues like unclear records, reconstructed entries, and downstream risk."
41,2026-05-29,14:00,2026-05-29T19:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Audit reports,Question post,"A useful attendance report should help answer more than ""who came today?""

It should help answer:

Who was present during the ratio question?
Which child record supports this billing item?
What attendance history supports the subsidy claim?
What changed after the original entry?

Reports become more useful when they point back to the same operating record instead of asking the director to reconcile separate exports.",apps/site/src/content/features/audit-reports.md,https://pebbledesk.app/features/audit-reports/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit","Grounded in audit reports connecting attendance, ratio, billing, and audit-log context."
42,2026-05-29,15:00,2026-05-29T20:00:00.000Z,LinkedIn company page,cmorpckmz03sbqi0yay2i3ds6,Same-day cleanup,Checklist,"Friday attendance cleanup before close:

- Missing sign-ins
- Missing sign-outs
- Unclear absence notes
- Room changes that never made it into the record
- Staff verification notes for pickup misses
- Billing exceptions that should not wait until Monday

This is not about making Friday pristine.

It is about protecting Monday morning from last week's loose ends.

A missing sign-out is easier to fix while staff still remember pickup.

A billing exception is easier to explain before the invoice run.

Attendance cleanup gets harder every day it waits.",apps/site/src/content/guides/ccdf-attendance-documentation-requirements.md,https://pebbledesk.app/resources/guides/ccdf-attendance-documentation-requirements/,"writer self-reviewed: truth, source, humanization, brand, duplication, LinkedIn fit",Rewritten to make the ending specific to Friday attendance cleanup.
